,accuracy,precision,recall,f1,roc_auc
bilstm,0.9561247216035634,0.9444698354661791,0.9647525676937442,0.9545034642032333,0.9912600687634509
textcnn,0.9532293986636972,0.9453665283540802,0.9572829131652661,0.9512874043145442,0.9903090637163441
linear_svm,0.9502227171492205,0.9450243562978428,0.9509803921568627,0.9479930191972077,0.9882253227810147
logistic_regression,0.9430957683741648,0.931792172121767,0.9502801120448179,0.9409453368773836,0.9861823420452792
random_forest,0.938195991091314,0.9281285878300803,0.9435107376283847,0.9357564532932052,0.983679243275959
naive_bayes,0.9366369710467706,0.9411066255046308,0.9250700280112045,0.9330194231901119,0.9838792416455509
decision_tree,0.8934298440979955,0.8999759557585958,0.8737161531279178,0.8866516641004383,0.8925650612317614
